DATE,TIME,온도_PV(℃),온도_SV(℃),온도_MV(%),차압챔버(mmH2O),차압필터(mmH2O),모터챔버(Hz),쿨링챔버(Hz),MFC(ℓ/min),내부온도-1(℃),내부온도-2(℃),내부온도-3(℃),내부온도-4(℃),챔버_OT(℃),히터_OT(℃),O2_온도(℃),O2_EMF(mV),O2_ppm(ppm),차압챔버_SV(mmH2O),차압챔버_MV(%),차압챔버 운전상태
2020-06-26,10:40:20,156.4,149.9,0,-48.1,17.7,53.9,0,6.4,138.3,136.9,137.4,126.3,135.6,141.7,24,0,1000,35,45,11
2020-06-26,10:40:30,156,128,0,-0.8,22.3,53.9,0,226.3,138.2,136.9,137.3,126.2,135.5,143.7,24,0,1000,35,45,11
2020-06-26,10:40:40,155.8,106,0,44.2,22.8,53.9,0,308,138.2,136.9,137.4,126.1,135.5,145.3,24,0,1000,35,51.9,9
2020-06-26,10:40:50,155.5,175,100,39.9,22.8,53.9,0,300.4,138.3,136.9,137.4,125.9,135.6,146.1,24,0,1000,35,48.4,9
2020-06-26,10:41:00,155.2,175,100,37.5,22.9,53.9,0,299.4,138.4,137,137.5,125.9,135.7,146.6,24,0,1000,35,47.6,9
2020-06-26,10:41:10,155,175,100,39.9,25.6,53.9,0,299,138.5,137.3,137.5,126,135.7,147.7,24,0,1000,35,47.8,9
2020-06-26,10:41:20,154.9,175,100,45.4,22.4,53.9,0,298.9,138.8,137.5,137.7,126.5,135.9,149.9,24,0,1000,35,47.4,9
2020-06-26,10:41:30,154.9,175,100,40.9,22.8,53.9,0,299.2,139,137.8,138,126.9,136,152.9,24,0,1000,35,48.1,9
2020-06-26,10:41:40,155.1,175,84.1,38.6,22.8,53.9,0,298.7,139.5,138.3,138.3,127.3,136.3,156.6,24,0,1000,35,47,9
2020-06-26,10:41:50,155.4,175,79.2,37,22.1,53.9,0,298.6,139.9,138.9,138.8,127.9,136.5,160.6,24,0,1000,35,46.6,9
2020-06-26,10:42:00,155.8,175,65.7,35.8,22.8,53.9,0,298.9,140.5,139.5,139.4,128.6,136.9,164.4,24,0,1000,35,46.1,9
2020-06-26,10:42:10,156.2,175,64.9,32.6,22.5,53.9,0,299.1,141.1,140.2,140,129.2,137.3,167.9,24,0,1000,35,45.5,9
2020-06-26,10:42:20,156.7,175,56.7,31.5,22.5,53.9,0,298.5,141.8,141,140.7,130.1,137.8,171,24,0,1000,35,45.4,9
2020-06-26,10:42:30,157.3,175,52.9,24.8,24.9,53.9,0,298.6,142.7,141.9,141.5,131.2,138.2,173.6,24,0,1000,35,47.7,9
2020-06-26,10:42:40,157.9,175,53.7,22.7,22.5,53.9,0,299,143.5,142.7,142.4,132,138.7,175.1,24,0,1000,35,46.4,9
2020-06-26,10:42:50,158.4,175,58.8,28.1,22.1,53.9,0,299,144.3,143.7,143.2,132.8,139.1,177,24,0,1000,35,45.8,9
2020-06-26,10:43:00,159.1,175,54.2,31.5,22,53.9,0,299.3,145,144.5,144,133.5,139.5,178.4,24,0,1000,35,46.3,9
2020-06-26,10:43:10,159.7,175,48.5,40.2,26.9,53.9,0,298.8,145.8,145.4,144.8,134.6,140,179.4,24,0,1000,35,48.8,9
2020-06-26,10:43:20,160.2,175,66.8,49.8,22,53.9,0,298.9,146.9,146.3,145.9,135.9,140.4,180.4,24,0,1000,35,48.1,9
2020-06-26,10:43:30,160.8,175,61.6,44.2,22,53.9,0,299.2,147.6,147.2,146.7,136.7,140.9,181.1,24,0,1000,35,48.7,9
2020-06-26,10:43:40,161.6,175,31.8,40.9,21.9,53.9,0,299.3,148.3,147.9,147.4,137.5,141.3,181.8,24,0,1000,35,48.3,9
2020-06-26,10:43:50,162.2,175,35.8,40,22.4,53.9,0,299.5,149,148.7,148.2,138.2,141.7,182.9,24,0,1000,35,47.9,9
2020-06-26,10:44:00,162.9,175,37.4,37.8,22.8,53.9,0,299.4,149.7,149.4,149,139,142.1,183.7,24,0,1000,35,46.8,9
2020-06-26,10:44:10,163.6,175,30.8,35.7,22,53.9,0,299.3,150.3,150.1,149.6,139.7,142.5,184.3,24,0,1000,35,44.9,9
2020-06-26,10:44:20,164.2,175,42.7,43.3,26.6,53.9,0,299.5,151,150.8,150.4,140.5,142.9,184.5,24,0,1000,35,47.6,9
2020-06-26,10:44:30,164.7,175,48.2,39.1,22,53.9,0,299.3,151.6,151.6,151.2,141.2,143.2,184,24,0,1000,35,50.4,9
2020-06-26,10:44:40,165.3,175,41.6,42.6,26.2,53.9,0,299.5,152.1,152.2,151.7,141.8,143.6,183.7,24,0,1000,35,50.6,9
2020-06-26,10:44:50,165.8,175,49.3,43,22,53.9,0,299.4,152.7,152.8,152.5,142.5,144,183.7,24,0,1000,35,52.6,9
2020-06-26,10:45:00,166.4,175,39.3,35.6,22.6,53.9,0,299.1,153.2,153.4,153,143.2,144.3,183.4,24,0,1000,35,49.1,9
2020-06-26,10:45:10,166.8,175,41.9,34.4,21.8,53.9,0,299.4,153.7,153.8,153.6,143.8,144.6,183.8,24,0,1000,35,47.7,9
2020-06-26,10:45:20,167.3,175,35.2,35.6,22,53.9,0,299.2,154.1,154.4,154.1,144.3,144.9,184.3,24,0,1000,35,47.8,9
2020-06-26,10:45:30,167.8,175,33.9,37.4,22,53.9,0,299.5,154.6,154.8,154.6,144.8,145.2,184.6,24,0,1000,35,47.9,9
2020-06-26,10:45:40,168.2,175,43.9,39.2,22,53.9,0,299.6,154.9,155.3,155,145.4,145.5,184.5,24,0,1000,35,48.2,9
2020-06-26,10:45:50,168.6,175,38.5,40,22,53.9,0,299.4,155.4,155.7,155.4,145.9,145.8,184.5,24,0,1000,35,48.1,9
2020-06-26,10:46:00,169.1,175,36.5,40,23,53.9,0,299.5,155.7,156.1,155.8,146.3,146.1,184.5,24,0,1000,35,47.9,9
2020-06-26,10:46:10,169.2,175,55.4,43,27.8,53.9,0,299.1,156.5,156.6,156.7,147.5,146.4,184.3,24,0,1000,35,48.8,9
2020-06-26,10:46:20,169.3,175,100,35.5,23.1,53.9,0,299.5,156.9,156.9,157.3,148.2,146.8,184.2,24,0,1000,35,52.7,9
2020-06-26,10:46:30,169.7,175,55.1,37.5,22.4,53.9,0,299.4,157.2,157.2,157.5,148.5,147.2,184.4,24,0,1000,35,50.8,9
